r0,n0,r1,n1,year
0,28,3,28,-10
2,21,5,21,-9
2,32,2,32,-9
1,35,7,35,-8
2,35,7,35,-8
0,38,2,38,-8
1,30,5,30,-7
1,43,3,43,-7
1,49,5,49,-7
2,53,11,53,-7
4,31,6,31,-6
4,35,6,35,-6
2,46,11,46,-6
1,53,4,53,-6
7,61,4,61,-6
4,40,2,40,-5
3,29,8,29,-5
5,44,8,44,-5
3,52,6,52,-5
2,55,5,55,-5
4,61,15,61,-5
1,31,4,31,-4
4,48,9,48,-4
5,44,9,44,-4
2,42,4,42,-4
7,53,12,53,-4
5,56,8,56,-4
8,71,8,71,-4
2,43,6,43,-3
3,43,8,43,-3
5,43,12,43,-3
4,40,4,40,-3
1,44,7,44,-3
6,70,16,70,-3
5,75,12,75,-3
11,71,9,71,-3
5,37,4,37,-2
2,31,7,31,-2
5,42,8,42,-2
8,46,11,46,-2
5,47,5,47,-2
6,55,12,55,-2
6,63,8,63,-2
10,91,17,91,-2
7,43,9,43,-2
5,39,3,39,-1
5,35,2,35,-1
2,32,7,32,-1
8,53,6,53,-1
1,49,5,49,-1
13,75,11,75,-1
9,64,14,64,-1
11,69,13,69,-1
9,64,8,64,-1
4,49,6,49,-1
4,29,4,29,0
8,40,8,40,0
6,27,4,27,0
8,48,8,48,0
6,43,7,43,0
8,61,15,61,0
14,77,15,77,0
6,55,9,55,0
5,60,9,60,0
5,46,5,46,0
2,28,6,28,1
4,33,3,33,1
2,32,9,32,1
9,46,12,46,1
5,57,14,57,1
6,56,16,56,1
7,78,17,78,1
5,58,8,58,1
10,52,8,52,1
3,31,9,31,1
2,28,5,28,2
1,46,9,46,2
7,42,11,42,2
9,45,6,45,2
13,63,14,63,2
9,71,21,71,2
11,69,16,69,2
4,43,6,43,2
8,50,9,50,2
2,31,8,31,3
3,34,9,34,3
7,54,8,54,3
4,46,4,46,3
7,58,11,58,3
5,62,11,62,3
6,52,6,52,3
6,41,9,41,3
5,34,4,34,4
6,52,4,52,4
9,63,9,63,4
7,59,9,59,4
7,88,10,88,4
7,62,14,62,4
4,47,6,47,4
2,53,3,53,5
3,57,4,57,5
4,74,6,74,5
10,68,10,68,5
3,61,4,61,5
4,45,3,45,5
2,45,3,45,6
10,62,10,62,6
5,73,4,73,6
4,53,10,53,6
5,39,5,39,6
4,45,4,45,7
6,51,3,51,7
5,55,13,55,7
3,41,1,41,7
2,53,7,53,8
2,51,5,51,8
4,42,7,42,8
6,46,6,46,9
4,54,3,54,9
1,32,7,32,10
